,Año,País,Jornada,Equipo local,Equipo visitante,Últimos partidos local,Últimos partidos visitante,Puntos totales local,Puntos totales visitante,PG local,PG visitante,PE local,PE visitante,PP local,PP visitante,Goles a favor local,Goles a favor visitante,Goles en contra local,Goles en contra visitante,Porterías a cero local,Porterías a cero visitante,Total tiros local,Total tiros visitante,Posesión equipo local,Posesión equipo visitante,Disparos equipo local,Disparos equipo visitante,Disparos a puerta equipo local,Disparos a puerta equipo visitante,Tarjetas amarillas equipo local,Tarjetas amarillas equipo visitante,Tarjetas rojas equipo local,Tarjetas rojas equipo visitante,Faltas equipo local,Faltas equipo visitante,Córners equipo local,Córners equipo visitante,Paradas equipo local,Paradas equipo visitante,Resultado,Clustering local,Clustering visitante
2333,2015,IT,6,Bologna,Udinese,DDDVD,VDDDD,3.0,3.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,4.0,7.0,8.0,1.0,1.0,38.0,60.0,0.53,0.47,12,11,3,3,4,3,0,0,12,13,6,4,1,2,2,,
2334,2015,IT,6,Torino,Palermo,VVEVD,VVEDD,10.0,7.0,3.0,2.0,1.0,1.0,1.0,2.0,9.0,6.0,5.0,6.0,1.0,2.0,69.0,59.0,0.5,0.5,10,11,3,3,4,5,2,0,15,20,5,1,2,2,0,,
2335,2015,IT,6,Sassuolo,Chievo,VVEEV,VVEDV,11.0,10.0,3.0,3.0,2.0,1.0,0.0,1.0,8.0,9.0,5.0,3.0,2.0,2.0,58.0,52.0,0.54,0.46,13,12,5,2,3,1,0,0,16,22,4,2,1,4,1,,
2336,2015,IT,6,Hellas Verona,Lazio,EDEED,VDVDV,3.0,9.0,0.0,3.0,3.0,0.0,2.0,2.0,4.0,6.0,7.0,10.0,0.0,2.0,52.0,67.0,0.38,0.62,6,13,1,3,3,4,0,1,18,13,3,10,0,0,2,,
2337,2015,IT,6,Inter,Fiorentina,VVVVV,VDVVV,15.0,12.0,5.0,4.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,3.0,4.0,4.0,80.0,58.0,0.31,0.69,5,12,2,8,4,2,1,0,10,15,2,3,4,1,2,,
2338,2015,IT,6,Frosinone,Empoli,DDDDE,DDEVD,1.0,4.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,6.0,8.0,9.0,0.0,0.0,74.0,70.0,0.41,0.6,10,13,4,5,3,4,0,1,28,18,4,5,5,2,0,,
2339,2015,IT,6,Atalanta,Sampdoria,DVEEV,VEVDV,8.0,10.0,2.0,3.0,2.0,1.0,1.0,1.0,6.0,11.0,4.0,7.0,2.0,1.0,67.0,50.0,0.49,0.51,18,8,5,4,3,3,0,0,22,15,5,4,3,4,0,,
2340,2015,IT,7,Carpi,Torino,DEDED,VEVDV,2.0,13.0,0.0,4.0,2.0,1.0,4.0,1.0,6.0,11.0,15.0,6.0,1.0,1.0,80.0,79.0,0.41,0.59,7,13,3,3,2,1,0,0,10,19,2,5,2,3,0,,
2341,2015,IT,7,Chievo,Hellas Verona,VEDVE,DEEDD,11.0,3.0,3.0,0.0,2.0,3.0,1.0,3.0,10.0,5.0,4.0,9.0,2.0,0.0,64.0,58.0,0.53,0.48,17,10,7,3,3,0,0,0,22,12,5,5,3,6,1,,
2342,2015,IT,7,Empoli,Sassuolo,DEVDD,VEEVE,4.0,12.0,1.0,3.0,1.0,3.0,4.0,0.0,6.0,9.0,11.0,6.0,0.0,2.0,83.0,71.0,0.54,0.46,18,7,4,1,4,3,1,0,21,25,5,2,1,3,0,,
2343,2015,IT,7,Palermo,Roma,VEDDD,VVEDV,7.0,11.0,2.0,3.0,1.0,2.0,3.0,1.0,7.0,13.0,8.0,7.0,2.0,1.0,70.0,120.0,0.39,0.61,14,13,5,8,4,3,0,0,15,16,6,3,4,3,2,,
2344,2015,IT,7,Udinese,Genoa,DDDDV,VDDDV,6.0,6.0,2.0,2.0,0.0,0.0,4.0,4.0,6.0,3.0,9.0,6.0,1.0,2.0,71.0,71.0,0.32,0.68,9,19,3,7,2,1,0,0,12,17,2,10,6,2,1,,
2345,2015,IT,7,Sampdoria,Inter,EVDVD,VVVVD,10.0,15.0,3.0,5.0,1.0,0.0,2.0,1.0,12.0,7.0,9.0,5.0,1.0,4.0,58.0,85.0,0.34,0.66,15,17,6,7,2,4,0,0,14,12,9,8,6,5,1,,
2346,2015,IT,7,Lazio,Frosinone,DVDVV,DDDEV,12.0,4.0,4.0,1.0,0.0,1.0,2.0,4.0,8.0,4.0,11.0,8.0,2.0,1.0,80.0,84.0,0.66,0.34,29,12,11,6,3,1,0,0,15,14,9,6,1,8,0,,
2347,2015,IT,7,Juventus,Bologna,DEVED,DDVDD,5.0,3.0,1.0,1.0,2.0,0.0,3.0,5.0,6.0,3.0,7.0,9.0,1.0,1.0,118.0,50.0,0.66,0.34,19,2,8,1,1,5,0,0,8,9,4,2,0,5,0,,
2348,2015,IT,7,Fiorentina,Atalanta,DVVVV,VEEVV,15.0,11.0,5.0,3.0,0.0,2.0,1.0,1.0,11.0,8.0,4.0,5.0,4.0,2.0,70.0,85.0,0.66,0.34,29,5,9,1,0,2,0,1,12,15,8,4,1,6,0,,
2349,2015,IT,7,Milan,Napoli,VDVVD,EEVEV,9.0,9.0,3.0,2.0,0.0,3.0,3.0,1.0,8.0,12.0,9.0,7.0,0.0,2.0,73.0,112.0,0.39,0.61,12,11,2,4,3,3,0,0,12,11,5,1,1,2,2,,
2350,2015,IT,8,Roma,Empoli,VEDVV,EVDDV,14.0,7.0,4.0,2.0,2.0,1.0,1.0,4.0,17.0,7.0,9.0,11.0,1.0,1.0,133.0,101.0,0.57,0.43,9,13,5,6,1,1,0,0,17,9,6,4,5,3,0,,
2351,2015,IT,8,Torino,Milan,EVDVD,DVVDD,13.0,9.0,4.0,3.0,1.0,0.0,2.0,4.0,12.0,8.0,8.0,13.0,1.0,0.0,92.0,85.0,0.45,0.55,6,8,2,3,3,4,0,0,27,12,7,1,1,1,1,,
2352,2015,IT,8,Bologna,Palermo,DVDDD,EDDDD,3.0,7.0,1.0,2.0,0.0,1.0,6.0,4.0,4.0,9.0,12.0,12.0,1.0,2.0,52.0,84.0,0.55,0.45,17,9,6,4,1,3,0,0,8,15,6,6,1,6,2,,
